Segment,Sentiment Score
"Paragraph 1: Xi extends congratulations on 5th anniversary of South-South cooperation fund, institute",0
"Paragraph 2: Updated 15:23, 08-Jul-2021",0
Paragraph 3: CGTN,0
Paragraph 4: Chinese President Xi Jinping on Thursday extended congratulations on the fifth anniversary of the establishment of the South-South Cooperation Assistance Fund and the Institute of South-South Cooperation and Development.,0
Paragraph 5: Xi spoke highly of the important roles the fund and the institute play in promoting South-South cooperation. He said the fund helps developing countries implement the 2030 Agenda for Sustainable Development while the institute is dedicated to sharing China's successful experiences in governance with developing countries and providing capacity building programs for their senior government officials.,2
Paragraph 6: Xi said China is ready to work with developing countries to further explore the potentials of South-South cooperation and share development opportunities with them.,0
"Paragraph 7: He said he hopes the fund will continue facilitating sustainable development in developing countries and the institute will continue to provide capacity building and exchanges platform for top talents in developing countries, thereby making their contributions for the building of a community with a shared future for mankind.",1
Paragraph 9: Chinese vice premier calls for strengthening South-South cooperation,0
Paragraph 10: CGTN,0
"Paragraph 11: 21:11, 21-Mar-2019",0
Paragraph 13: Chinese Vice Premier Hu Chunhua on Wednesday called for expanding areas of the South-South cooperation with more innovative modes when addressing the opening session of the Second High-level UN Conference on South-South Cooperation scheduled through Friday.,0
"Paragraph 14: Hu has been invited to visit Argentina, Uruguay and the Dominican Republic from March 18 to 27.",0
"Paragraph 15: Hu emphasized in the speech that China firmly supports multilateralism and the multilateral mechanism with the UN as its core, and resolutely safeguards the basic principles of respect for sovereignty, equality and mutual benefit, and non-interference in other countries' internal affairs.",1
Paragraph 16: He said he hopes that this meeting will reach a consensus and provide a solid foundation for the implementation of the 2030 Agenda for Sustainable Development.,0
"Paragraph 18: While meeting with Argentine President Mauricio Macri Wednesday, Hu said China and Argentina will strengthen bilateral ties and deepen cooperation in a wide range of areas.",0
Paragraph 19: Hu conveyed President Xi Jinping's warm greetings and good wishes to Macri. Hu said President Xi attaches great importance to the development of China-Argentina relations.,2
Paragraph 20: Hu pointed out that China appreciates Argentina's support for the Belt and Road Initiative (BRI) and welcomed the active participation of Argentina to the second Belt and Road Forum for International Cooperation to be held in Beijing in late April.,1
Paragraph 21: He said that China is willing to strengthen cooperation with developing countries and attaches importance to the dialogue and cooperation with the Southern Common Market (Mercosur).,0
"Paragraph 22: For his part, Macri said he attaches great importance to the friendship and mutual trust with President Xi.",2
"Paragraph 23: Macri said Argentina is willing to jointly further strengthen bilateral ties, and supports the BRI and hopes that more Chinese companies will increase their investment in Argentina in areas such as agriculture.",0
Paragraph 24: He also said Argentina will further promote dialogue and cooperation between Mercosur and China as well as deepen South-South cooperation.,1
Paragraph 25: (With input from Xinhua),0
Paragraph 27: China calls for more efforts in advancing South-South cooperation,0
"Paragraph 28: Politics19:53, 22-Jan-2024",0
"Paragraph 30: Chinese President Xi Jinping's special representative Liu Guozhong attended the 3rd South Summit held Sunday in the Ugandan capital of Kampala and delivered a speech, calling for the advancement of South-South cooperation and reform of the global governance system.",2
"Paragraph 31: This year marks the 60th anniversary of the founding of the Group of 77, and over the past six decades, the Global South has followed the right path of equality, mutual trust, mutual benefit, solidarity and mutual assistance, said Liu, also a member of the Political Bureau of the Communist Party of China Central Committee and vice premier of the State Council.",3
"Paragraph 32: Independence is the defining political feature of the Global South, seeking strength through unity is the glorious tradition of the Global South, development and revitalization are the historical mission of the Global South, and fairness and justice are the common propositions of the Global South, Liu noted.",1
"Paragraph 33: Transformations of the world unseen in a century are unfolding at a faster pace, and the Global South is faced with a complex external environment, he said, calling for more efforts in exploring a path to modernization, promoting South-South cooperation at a higher level, actively participating in the reform of the global governance system, and deepening a global partnership for development that is united, equal, balanced and beneficial to all.",1
"Paragraph 34: Liu said that the Chinese president has put forward an important vision of building a community with a shared future for mankind, as well as the Global Development Initiative, the Global Security Initiative and the Global Civilization Initiative, and advocates the high-quality Belt and Road cooperation, aiming to mobilize global resources, promote the common development of human society, long-term stability and mutual learning among civilizations, and push the world toward a bright future of peace, security, prosperity and progress.",4
"Paragraph 35: As a developing country and a member of the Global South, China has always shared a common destiny with other developing countries, and will continue to take South-South cooperation as a priority in its foreign cooperation and contribute to the common development of developing countries in the Global South, Liu said.",0
Paragraph 36: The South Summit is the supreme decision-making body of the Group of 77. High-level representatives of nearly 100 countries and heads of United Nations agencies attended the meeting.,0
Paragraph 37: Source(s): Xinhua News Agency,0
Paragraph 39: UN chief calls for solidarity in South-South cooperation,0
Paragraph 40: CGTN,0
"Paragraph 41: 16:24, 12-Sep-2022",0
"Paragraph 42: At a time of unprecedented challenges and upheaval, ""solutions lie in solidarity,"" United Nations (UN) Secretary-General Antonio Guterres said on Sunday in a message commemorating the United Nations Day for South-South cooperation.",0
"Paragraph 43: ""South-South and triangular cooperation are critical for developing countries to mitigate and adapt to climate disruption, address the global health crisis, including COVID-19 recovery, and achieve all 17 Sustainable Development Goals,"" Guterres said.",1
Paragraph 44: The UN chief stressed the importance of Southern-led development solutions being shared "far and wide.",0
"Paragraph 45: ""South-South and triangular cooperation must play an ever-increasing role in resolving our common challenges,"" he said.",0
"Paragraph 46: ""But that does not absolve wealthier states of their responsibilities to work constructively with the developing world, especially to reduce growing inequalities between and within nations,"" Guterres said.",-1
"Paragraph 47: In commemorating the day, he encouraged ""all nations and communities to redouble cooperation and build bridges to achieve an equitable and sustainable future for all.""",1
"Paragraph 48: ""South-South and triangular cooperation must have a central place in our preparations for a strong recovery,"" said the secretary-general.",1
Paragraph 49: "We will need the full contributions and cooperation of the global South to build more resilient economies and societies and implement the Sustainable Development Goals.",1
"Paragraph 50: To highlight the importance of South-South cooperation, the UN General Assembly proclaimed September 12 United Nations Day for South-South Cooperation.",0
Paragraph 51: Source(s): Xinhua News Agency,0
"Paragraph 53: Politics?17:49, 07-Dec-2017",0
Paragraph 54: First South-South Human Rights Forum opens in Beijing,0
Paragraph 55: By Hou Na,0
"Paragraph 56: The first South-South Human Rights Forum kicked off in Beijing on Thursday. Themed ""Building a Community of Shared Future for Human Beings: New Opportunity for South-South Human Rights Development,"" the forum has gathered scholars and officials from over 70 countries to discuss rights issues.",0
Paragraph 57: Chinese President Xi Jinping sent a congratulatory letter to the event.,0
"Paragraph 59: He said the development of human rights worldwide cannot be achieved without the joint efforts of developing countries, which account for more than 80 percent of the world's population.",0
"Paragraph 60: Developing nations should uphold both the universality and particularity of human rights, and steadily raise the level of human rights protection, according to Xi.",0
"Paragraph 61: It is important for the international community to respect and reflect the will of the people in developing countries in the spirit of justice, fairness, openness and inclusiveness.",1
Paragraph 62: He stressed that the Chinese people would like to work in concert with people in other developing countries and beyond to promote human rights.,1
"Paragraph 64: Participants at the forum say that human rights are the lofty ideals of mankind, but there is no universally agreed path to human rights.",0
"Paragraph 65: When it comes to rights issues, there are often debates or sometimes confrontations.",0
"Paragraph 66: YIdiz Deborah Pollack-Beighle, Surinamese foreign minister, said China has been making great strides and achievement in changing the human rights landscape.",1
"Paragraph 67: ""I think it's commendable to see the efforts and in fact the launch of the 'New Era for Socialism with Chinese Characteristics' where we note that human beings are at the center of development,"" she said.",1
"Paragraph 69: Tom Zwart, professor of law at Utrecht University, said China is taking the lead among southern countries in order to stop some of the misconceptions that dominate the debate on human rights in the North.",0
"Paragraph 71: World?16:40, 23-Jul-2018",0
Paragraph 72: BRICS 2018: Latin America paramount to South-South cooperation,0
"Paragraph 73: Updated 15:55, 26-Jul-2018",0
Paragraph 74: By Abhishek G Bhaya,0
"Paragraph 76: While the focus of this week＊s 10th BRICS Summit in South Africa＊s Johannesburg is expected to be on Africa, there＊s another region that remains paramount to realizing the BRICS vision of South-South cooperation 每 Latin America and the Caribbean.",0
"Paragraph 77: With a combined population of nearly 650 million from 33 countries in its fold, Latin America is seen by analysts with having immense potential for economic growth in the coming decades driven by its huge natural resources.",2
"Paragraph 78: Also, with Brazil representing the interest of the region within BRICS, Latin America in recent times has seen a phenomenal increase in its engagement with the other members of the bloc that brings together the world＊s top emerging economies including Russia, India, China and South Africa.",1
Paragraph 80: Related story:?South Africa offers a continental reach for BRICS,0
"Paragraph 81: Four years ago at the bloc＊s sixth summit in Fortazela, Brazil invited the leaders of Latin American countries including representatives from the Community of Latin American and Caribbean States (CELAC) and the Union of South American Nations (UNASUR) to interact with the BRICS leadership, setting the foundation for the bloc＊s outreach dialogue with other developing nations.",0
"Paragraph 82: At this year＊s BRICS Plus dialogue in South Africa, Jamaica has been invited to represent the Caribbean Community (CARICOM), a grouping of 15 Caribbean nations; while Argentina will attend the event as the Chair of the G20 and a member of the influential Common Market of the South (MERCOSUR).",0
"Paragraph 83: Brazil is also scheduled to host the 11th BRICS Summit next year, which will make it the first country to host the summit for the third time.",0
Paragraph 84: Forging strategic alliances,1
"Paragraph 86: ※BRICS has placed a high premium in developing a close relationship with many Latin American states,§ Diego Salama, a Bolivian expert on Latin American politics and foreign policy, told CGTN Digital.",0
"Paragraph 87: ※According to numbers from the United Nations Economic Commission for Latin America and the Caribbean (ECLAC), Latin American exports directed towards the BRICS have more than doubled since 2001 and every member of the BRICS has made a point in increasing their economic presence in multiple countries of the region,§ said Salama, a communications officer at the United Nations University＊s Maastricht Economic and Social Research Institute on Innovation and Technology (UNU-MERIT), the Netherlands.",1
"Paragraph 88: Following decades of engagement, China is now the region＊s top trade partner. In 2017, the total trade volume between China and Latin American countries rose 18.8 percent to nearly 260 billion US dollars, China＊s Xinhua news agency reported.",0
"Paragraph 89: Chinese President Xi Jinping in 2015 pledged to pump in 250 billion US dollars in direct investment to the region by 2019. By the end of 2017, China's direct investment stood at around 225 billion dollars, on track to meet Xi＊s target.",0
Paragraph 91: Related story:?Modi＊s Africa visit to set tone for India＊s BRICS 2018 agenda,0
"Paragraph 92: ※India, Russia and South Africa are not far behind China when it comes to Latin America. The three have been aggressively signing commercial agreements and strategic alliances in order to secure a long-term presence in the region,§ Salama remarked.",1
"Paragraph 93: Trade between Latin America and India reached 30 billion US dollars in 2016, suggesting that there is great potential for economic ties to diversify and continue to grow in the medium term, according to a report by the Inter-American Development Bank (IDB), the largest source of development financing in the region.",2
"Paragraph 94: India was ranked as Latin America＊s seventh largest trade partner in 2015, advancing one place from its level in 2013. The IDB report also estimated that 50,000 local workers are employed by the approximately 200 Indian companies that operate in the region.",0
"Paragraph 95: ※While it＊s abundantly clear that the BRICS have a strong presence in the region, it is also important to highlight that most of the agreement, loans and partnership between the BRICS and Latin America were developed on a bilateral basis and that isn＊t going to change anytime soon,§ Salama said.",2
Paragraph 96: Formal dialogue mechanism,0
"Paragraph 98: However, other analysts felt that the establishment of CELAC in 2011 has provided the region a unified and a more structured voice.",0
"Paragraph 99: ※With Brazil being a member of BRICS as well as CELAC, the BRICS＊ engagement in the region will be mutually beneficial with larger implications for the globe,§ geopolitical analyst Debidatta Aurobinda Mahapatra wrote in a commentary for Russia Beyond, a publication of Russia＊s state-owned TV-Novosti.",0
"Paragraph 100: CELAC also initiated formal dialogue mechanism with three major BRICS nations 每 China, India and Russia 每 in a clear sign of its political and economic priorities. India became CELAC＊s first dialogue partner in 2012; the China-CELAC forum was established in 2014; and the regional group also signed a deal with Russia in 2015 to boost political dialogue and cooperation.",1
"Paragraph 102: ※The BRICS＊ engagement with CELAC is not only a factor in promoting multilateralism and fostering a multi-polar world structure, but it also accrues economic advantages to both groupings. While the BRICS members are fast-rising economies with huge financial resources, the CELAC countries have also registered growth despite global economic slowdown,§ Mahapatra said in his commentary.",3
"Paragraph 103: Salama pointed out that ※based on the animosity that much of the region has with the EU and the US, it has been quite easy for the BRICS countries to capitalize on the anti-Western sentiment which is present in many governments across the region.§",0
Paragraph 104: Multilateralism at the core,0
Paragraph 106: The BRICS declaration at the 2013 Fortaleza summit asserted the bloc＊s support for ※the South American integration processes§ and came amid huge protests against charges of US spying in Latina American countries following leaked information by whistleblower and former National Security Agency (NSA) contractor Edward Snowden.,0
"Paragraph 107: ※We believe that strengthened dialogue among BRICS and South American countries can play an active role in enhancing multilateralism and international cooperation, for the promotion of peace, security, economic and social progress and sustainable development in an interdependent and increasingly complex, globalizing world,§ said the Fortaleza declaration.",4
Paragraph 108: This week＊s 10th annual BRICS Summit in Johannesburg will be held amid the West＊s diminishing ability of setting the international agenda in a constantly changing global economic order. Some analysts see this as an opportunity for the BRICS to assume a more assertive role in world affairs.,2
Paragraph 110: Related story:?South Africa to celebrate ＆Mandela Spirit＊ at Johannesburg BRICS Summit,0
"Paragraph 111: ※The current state of the G7, a grouping of the world＊s largest developed economies, is a case in point. At the group＊s most recent meeting in Canada, President Donald Trump insisted on removing the term ＆rules-based international order＊ from the meeting＊s communiqu谷, then withdrew the US＊ signature altogether,§ Oliver Stuenkel, an international relations professor at Sao Paulo-based Getulio Vargas Foundation, observed in an article he wrote for Americas Quarterly.",0
"Paragraph 112: ※It is increasingly evident that [US President Donald] Trump is seeking to undermine the European Union, too, by providing active support for Euroskeptic forces across the continent. In light of such monumental global changes and a vacuum of power not seen since the end of the Cold War, the BRICS countries may currently agree with each other on more than do the world＊s most advanced economies,§ he wrote.",2
"Paragraph 113: Both the upcoming summit in South Africa and Brazil＊s BRICS presidency in 2019 are unique opportunities to help revitalize a grouping that, intentionally or not, is bound to play a key role in global affairs, Stuenkel added.",2
"Paragraph 114: Latin America, like most of the world, will keep a close watch on the deliberations at the Johannesburg summit and the subsequent joint declaration that may likely have far-reaching consequences for the global order.",1
"Paragraph 116: Politics?18:18, 07-Dec-2017",0
Paragraph 117: China hopes to promote south-south human rights cooperation with Suriname,1
Paragraph 118: CGTN,0
"Paragraph 119: Chinese Foreign Minister Wang Yi said on Thursday that China hopes to cooperate with developing countries, including Suriname, to promote south-south human rights development.",1
"Paragraph 120: Wang made the remarks when meeting with Suriname Foreign Minister Yldiz Pollack-Beighle, who is in Beijing to attend the first South-South Human Rights Forum.",0
"Paragraph 121: Wang said China appreciates Suriname's firm support on issues concerning China's core interests and major concerns, and hopes that Suriname will play a more active role in China-Latin America relations.",2
"Paragraph 123: According to Wang, China welcomes Suriname to join the Belt and Road Initiative and will do what it can to help the Latin American country's economic and social development.",3
"Paragraph 124: For her part, Pollack-Beighle said the government and ruling party of Suriname attach great importance to relations with China and will continue to firmly adhere to the one-China policy.",1
"Paragraph 125: Suriname is grateful for China's aid to its economy, education, health and infrastructure, she said.",1
"Paragraph 126: Suriname hopes to join the Belt and Road Initiative, she said, voicing support of the construction of a community with shared future for mankind.",0
Paragraph 127: Source(s): Xinhua News Agency,0
"Paragraph 129: REPLAY?14:35, 21-Aug-2023",0
Paragraph 131: Live: BRICS Roundtable 每 expansion of BRICS and boosting South-South cooperation,0
"Paragraph 132: Updated 13:29, 21-Aug-2023",0
